 Absolute color table: act_flagtest.txt
 
 step_flag =        0
 step =       10.0000
 step_offset =       0.00000
 rgb = 1
 barmin =       0.00000
 barmax =       100.000
 
 Color table: Variable, Hue, Stauration, Value.
 
      Z               H            S            V
      F               F            F            F
-------------      -------     --------     --------
     -2.00000      0.00000      0.00000     0.341176
     -1.00001      0.00000      0.00000     0.341176
     -1.00000      0.00000      0.00000     0.674510
 -1.00000e-05      0.00000      0.00000     0.674510
      0.00000      238.256      1.00000     0.674510
      25.0000      115.385     0.254902      1.00000
      50.0000      34.2000     0.392157      1.00000
      75.0000      338.182     0.218254     0.988235
      100.000      0.00000      0.00000      1.00000
      100.001      122.490     0.956349     0.988235
      101.000      119.286      1.00000     0.988235
      101.001      179.008     0.956522     0.992157
      102.000      179.059      1.00000      1.00000
