 Absolute color table: /Users/sternre1/idl/libs/idlusr/act_suncolors.txt

 desc = Solar Zenith Angle in Degrees 
 
 step_flag =        0
 step =       5.00000
 step_offset =      0.500000
 log = 0
 rgb = 1
 abs_flag = 1
 barmin =         0.0
 barmax =       180.0
 units = Deg

 Color table: Z=Independent Variable, H=Hue, S=Stauration, V=Value.
 
                 Z                 H                 S                 V
                 F                 F                 F                 F
  ----------------  ----------------  ----------------  ----------------
         0.0000000         0.0000000         0.0000000         1.0000000
         1.0000000         0.0000000         0.0000000         1.0000000
         2.0000000         58.860760        0.61960787         1.0000000
         3.0000000         58.461540        0.61176473         1.0000000
         4.0000000         58.451614        0.60784316         1.0000000
         5.0000000         57.662338        0.60392159         1.0000000
         6.0000000         57.254902        0.60000002         1.0000000
         7.0000000         56.842106        0.59607846         1.0000000
         8.0000000         56.423843        0.59215689         1.0000000
         9.0000000         56.400002        0.58823532         1.0000000
         10.000000         55.570473        0.58431375         1.0000000
         11.000000         54.729733        0.58039218         1.0000000
         12.000000         54.693878        0.57647061         1.0000000
         13.000000         54.206898        0.56862748         1.0000000
         14.000000         53.793102        0.56862748         1.0000000
         15.000000         53.706291        0.56078434         1.0000000
         16.000000         52.447552        0.56078434         1.0000000
         17.000000         52.394367        0.55686277         1.0000000
         18.000000         51.914894        0.55294120         1.0000000
         19.000000         51.428574        0.54901963         1.0000000
         20.000000         50.869568        0.54117650         1.0000000
         21.000000         50.434780        0.54117650         1.0000000
         22.000000         49.927006        0.53725493         1.0000000
         23.000000         49.411766        0.53333336         1.0000000
         24.000000         48.888889        0.52941179         1.0000000
         25.000000         48.270679        0.52156866         1.0000000
         26.000000         47.368420        0.52156866         1.0000000
         27.000000         47.272724        0.51764709         1.0000000
         28.000000         47.076923        0.51181102        0.99607843
         29.000000         46.046513        0.50787401        0.99607843
         30.000000         45.468750        0.50592887        0.99215686
         31.000000         44.881889        0.50197631        0.99215686
         32.000000         44.761906        0.50000000        0.98823529
         33.000000         44.160000        0.49800798        0.98431373
         34.000000         43.548389        0.49402392        0.98431373
         35.000000         42.786884        0.48800001        0.98039216
