 Absolute color table: act_def000.txt
 
 step_flag =        0
 step =       5.00000
 step_offset =      0.500000
 rgb = 1
 
 Color table: Variable, Hue, Stauration, Value.
 
      Z               H            S            V
      F               F            F            F
-------------      -------     --------     --------
     -40.0000      263.529      1.00000     0.600000
     -30.0000      356.276     0.993151     0.572549
     -20.0000      299.676      1.00000     0.725490
     -15.0000      280.270      1.00000     0.870588
     -10.0000      233.742     0.639216      1.00000
     -5.00000      204.528     0.623529      1.00000
      0.00000      182.593     0.635294      1.00000
   0.01000000      157.969     0.501961      1.00000
      5.00000      117.791     0.673554     0.949020
      10.0000      62.1583     0.661905     0.823529
      15.0000      32.7500      1.00000     0.941176
      20.0000      351.549     0.556863      1.00000
      30.0000      355.765      1.00000      1.00000
      40.0000      300.882     0.412121     0.647059
